workoutid,part,workoutname,class
1,유산소,싸이클,1
2,유산소,"엘립티컬 머신",1
3,유산소,"트레드밀 러닝",1
4,유산소,러닝,0
5,유산소,버피,0
6,유산소,"점핑 잭",0
7,유산소,줄넘기,0
8,유산소,"로잉 머신",1
9,유산소,"스텝 머신",1
10,유산소,"인클라인 트레드밀 러닝",1
11,유산소,"스텝 밀",1
12,유산소,"스쿼트 버피",0
13,유산소,"크리스 크로스 엘보우 투 니",0
14,유산소,터치다운,0
15,유산소,"크리스 크로스 잭",0
16,유산소,"크리스 크로스 점프",0
17,유산소,"하이 니 스킵스",0
18,유산소,"잭 스텝",0
19,유산소,"로우 런지 트위스트",0
20,유산소,"사이드 킥 버피",0
21,유산소,"슬로우 버피",0
22,유산소,"온몸 찢기",0
23,유산소,"트위스트 니 쓰러스트",0
24,하체,"스쿼트 (바벨)",1
25,하체,런지,0
26,하체,"레그 프레스",1
27,하체,"러그 컬",1
28,하체,"스티프 레그 데드리프트 (바벨)",1
29,하체,"브이 스쿼트",1
30,하체,"레그 익스텐션",1
31,하체,"런지 (덤벨)",0
32,하체,"핵 스쿼트 (머신)",1
33,하체,"스모 덤벨 스쿼트",1
34,하체,"카프 레이즈",1
35,하체,"이너 싸이 머신",1
36,하체,"힙 쓰러스트 (바벨)",1
37,하체,"스쿼트 (스미스머신)",1
38,하체,"원 레그 니업",0
39,하체,"와이드 스쿼트 (바벨)",1
40,하체,"런지 (스미스머신)",1
41,하체,"워킹 런지",0
42,하체,"내로우 스쿼트",0
43,하체,"스모 데드리프트",0
44,하체,"박스 스쿼트",1
45,하체,"박스 점프",1
46,하체,"불가리안 스플릿 스쿼트",0
47,하체,"프론트 스쿼트",1
48,하체,"글루트 햄 레이즈",1
49,하체,"글루트 킥 백",0
50,하체,"고블릿 스쿼트",0
51,하체,"핵 스쿼트 (바벨)",1
52,하체,"런지 (바벨)",1
53,하체,"피스톨 스쿼트",0
54,하체,"스쿼트 (밴드)",0
55,하체,"스쿼트 (덤벨)",0
56,하체,"와이드 스쿼트 (스미스머신)",1
57,하체,"제르셔 스쿼트",1
58,하체,"힙 익스텐션",0
59,하체,"백 런지",0
60,하체,"힙 쓰러스트 (머신)",1
61,하체,"사이드 런지",0
62,하체,"힙 어브덕션",1
63,하체,"사이드 킥 백",0
64,하체,"크로스 런지",0
65,하체,"스탠딩 레그 컬 (머신)",1
66,하체,"시티드 카프레이즈 (머신)",1
67,하체,"시티드 카프레이즈",0
68,하체,"케틀벨 스모 데드리프트 하이풀",0
69,하체,"펜들럼 스쿼트",1
70,하체,"원레그 데드리프트 (덤벨)",0
71,하체,"원레그 힙쓰러스트 (바벨)",1
72,하체,"점프 스쿼트",0
73,하체,"원레그 레그프레스",1
74,하체,"카프 레이즈 (머신)",1
75,하체,"힙 익스텐션 (머신)",1
76,하체,"와이드 스쿼트",0
77,하체,스쿼트,0
78,하체,"스티프 레그 데드리프트 (덤벨)",0
79,하체,"글루트 킥 백 앤 사이드 킥",0
80,하체,"글루트 킥 백 앤 크로스",0
81,하체,"니 힙 쓰러스트",0
82,하체,"사이드 레이즈 앤 킥",0
83,하체,"스모 스쿼트 플로어 터치",0
84,하체,"원 레그 데드리프트",0
85,하체,"원 레그 힙 쓰러스트",0
86,하체,"하이 니 스쿼트",0
87,하체,"힙 쓰러스트",0
88,하체,"런지 점프",0
89,하체,"월 싯",0
90,하체,"스텝백 핸드레이즈",0
91,하체,"시티드 레그 프레스",0
92,코어,"레그 레이즈",0
93,코어,크런치,0
94,코어,"크런치 (케이블)",1
95,코어,"캡틴스 체어 레그 레이즈",0
96,코어,"행잉 레그 레이즈",1
97,코어,"바이시클 크런치",0
98,코어,"디클라인 크런치",0
99,코어,"사이드 벤드 (덤벨)",0
100,코어,플랭크,0
101,코어,브이업,0
102,코어,"앱 휠",0
103,코어,"크로스 바디 크런치",0
104,코어,"크런치 (머신)",0
105,코어,"니 투 엘보",0
106,코어,"오블리크 크런치",0
107,코어,"리버스 플랭크",0
108,코어,"러시안 트위스트",0
109,코어,"사이드 벤드 (케이블)",1
110,코어,"사이드 플랭크",0
111,코어,"싯 업",0
112,코어,슈퍼맨,0
113,코어,"토 투 바",0
114,코어,"케틀벨 스윙",0
115,코어,"쓰러스터 (바벨)",1
116,코어,"마운틴 클라이머",0
117,코어,"드래곤 플래그",0
118,코어,할로우,0
119,코어,"리버스 크런치",0
120,코어,"크리스 크로스",0
121,코어,"시티드 니업",0
122,코어,"사이드 레그 레이즈",0
123,코어,"플랭크 푸쉬업",0
124,코어,"로테이션 푸쉬업",0
125,코어,"풀 플랭크",0
126,코어,"우드 쵸퍼 (케이블)",1
127,코어,"힐 터치 크런치",0
128,코어,"쓰러스터 (덤벨)",0
129,코어,"레그 레이즈 힙 리프트",0
130,코어,"로테이션 플랭크",0
131,코어,"버드 독",0
132,코어,"스타피쉬 크런치",0
133,코어,"스파이더맨 푸쉬업",0
134,코어,"암 앤 레그 리프트",0
135,코어,"프론트 킥",0
136,코어,"플랭크 잭",0
137,코어,"힙 레이즈 플랭크",0
138,코어,"토르소 로테이션",0
139,코어,"플러터 킥",0
140,코어,"사이드 니업",0
141,코어,"스탠딩 바이시클",0
142,코어,"크로스오버 토터치",0
143,코어,"데드 벅",0
144,등,데드리프트,1
145,등,"바벨 로우",1
146,등,"풀 업",0
147,등,"루마니안 데드리프트",1
148,등,"랫 풀다운",1
149,등,"백 익스텐션",1
150,등,"원 암 덤벨 로우",0
151,등,"시티드 로우 (케이블)",1
152,등,"시티드 로우 (머신)",1
153,등,"데드리프트 (덤벨)",0
154,등,"벤트 오버 로우 (밴드)",0
155,등,"레니게이드 로우",0
156,등,"인클라인 로우",1
157,등,"인버티드 로우",1
158,등,"티 바 로우 (머신)",1
159,등,"티 바 로우",0
160,등,"백 랫 풀다운",1
161,등,"로우 로우 (머신)",1
162,등,"바벨 로우 (스미스머신)",1
163,등,"암 풀다운",1
164,등,"로우 (밴드)",0
165,등,"덤벨 로우",0
166,등,"펜들레이 로우",1
167,등,"원 암 랫 풀다운",1
168,등,"랙 풀",1
169,등,"백 익스텐션 (머신)",1
170,등,굿모닝,1
171,등,"데드리프트 (밴드)",0
172,등,"하이 로우 머신",1
173,등,"와이드 풀다운 (머신)",1
174,등,"케틀벨 로우",0
175,등,"백 익스텐션 (짐볼)",0
176,등,"원 암 풀다운",0
177,등,"원 암 풀다운 (머신)",1
178,등,"원 암 시티드 로우 (머신)",1
179,등,"랫 풀다운 (머신)",1
180,등,"라잉 백 익스텐션",0
181,등,"슈퍼맨 로우",0
182,등,"시티드 로우",1
183,등,"내로우 그립 티 바 로우",1
184,등,"트위스트 슈퍼맨",0
185,가슴,"벤치 프레스",1
186,가슴,"벤치 프레스 (덤벨)",0
187,가슴,"풀오버 (덤벨)",0
188,가슴,"펙덱 플라이",1
189,가슴,"덤벨 플라이",0
190,가슴,푸쉬업,0
191,가슴,"케이블 크로스오버",1
192,가슴,딥스,0
193,가슴,"체스트 프레스 (머신)",1
194,가슴,"벤치 프레스 (스미스머신)",1
195,가슴,"디클라인 벤치 프레스",1
196,가슴,"디클라인 벤치 프레스 (덤벨)",0
197,가슴,"인클라인 벤치 프레스",1
198,가슴,"인클라인 벤치 프레스 (덤벨)",0
199,가슴,"로우 케이블 크로스오버",1
200,가슴,"벤치 프레스 (케이블)",1
201,가슴,"체스트 프레스 (밴드)",0
202,가슴,"디클라인 벤치 프레스 (스미스머신)",1
203,가슴,"인클라인 벤치 프레스 (스미스머신)",1
204,가슴,"인클라인 벤치 프레스 (케이블)",1
205,가슴,"인클라인 벤치 프레스 (머신)",1
206,가슴,"인클라인 덤벨 플라이",0
207,가슴,"디클라인 벤치 프레스 (머신)",1
208,가슴,"인클라인 케이블 플라이",1
209,가슴,"인클라인 푸쉬업",0
210,가슴,"해머 벤치 프레스",1
211,가슴,"원 암 벤치프레스 (덤벨)",0
212,가슴,"디클라인 푸쉬업",0
213,가슴,"숄더 탭 푸쉬업",0
214,가슴,"니 푸쉬업",0
215,가슴,"풀오버 (바벨)",1
216,가슴,"벤치 케이블 플라이",1
217,가슴,"아처 푸쉬업",0
218,가슴,"다이아몬드 푸쉬업",0
219,가슴,"와이드 푸쉬업",0
220,어깨,"오버헤드 프레스",1
221,어깨,"숄더 프레스 (덤벨)",0
222,어깨,"레터럴 레이즈 (덤벨)",0
223,어깨,"숄더 프레스 (머신)",1
224,어깨,"레터럴 레이즈 (머신)",1
225,어깨,"시티드 오버헤드 프레스",1
226,어깨,"프론트 레이즈 (덤벨)",0
227,어깨,"프론트 레이즈 (바벨)",1
228,어깨,페이스풀,1
229,어깨,"리버스 플라이 (케이블)",1
230,어깨,"슈러그 (바벨)",0
231,어깨,"펙 덱 리어 델트",1
232,어깨,"아놀드 프레스",0
233,어깨,"벤트오버 레터럴 레이즈",0
234,어깨,"오버헤드 프레스 (스미스머신)",1
235,어깨,"프론트 레이즈 (밴드)",0
236,어깨,"프론트 레이즈 (플레이트)",0
237,어깨,"프론트 레이즈 (케이블)",1
238,어깨,"레터럴 레이즈 (밴드)",0
239,어깨,"레터럴 레이즈 (케이블)",1
240,어깨,"오버헤드 프레스 (케이블)",1
241,어깨,"슈러그 (덤벨)",0
242,어깨,"업라이트 로우 (바벨)",1
243,어깨,"업라이트 로우 (덤벨)",0
244,어깨,"슈러그 (스미스머신)",1
245,어깨,"비하인드 넥 프레스",1
246,어깨,"비하인드 넥 프레스 (스미스머신)",1
247,어깨,"프론트 레이즈 (이지바)",1
248,어깨,"벤트오버 레터럴 레이즈 (머신)",1
249,어깨,"파이크 푸쉬업",0
250,어깨,"원 암 숄더프레스 (덤벨)",0
251,어깨,"암 워킹 푸쉬업",0
252,어깨,"플로어 인버티드 숄더프레스",1
253,어깨,"비하인드 넥 프레스 (덤벨)",0
254,어깨,"플랭크 레터럴 레이즈",0
255,어깨,"힌두 푸쉬업",0
256,삼두,"트라이셉 익스텐션 (바벨)",0
257,삼두,"트라이셉 푸쉬다운 (케이블)",1
258,삼두,"킥백 (덤벨)",0
259,삼두,"트라이셉 익스텐션 (덤벨)",0
260,삼두,"원 암 트라이셉 익스텐션 (덤벨)",0
261,삼두,"벤치 딥스",0
262,삼두,"킥백 (케이블)",1
263,삼두,"트라이셉 익스텐션 (케이블)",1
264,삼두,"라잉 트라이셉 익스텐션 (바벨)",0
265,삼두,"딥스 (머신)",1
266,삼두,"클로즈 그립 벤치프레스",1
267,삼두,"원 암 트라이셉 익스텐션 (케이블)",1
268,삼두,"오버헤드 트라이셉 익스텐션 (케이블)",1
269,삼두,"트라이셉 푸쉬다운 (머신)",1
270,삼두,"라잉 트라이셉 익스텐션 (덤벨)",0
271,삼두,"트라이셉스 딥스 플로어",1
272,이두,"바이셉 컬 (바벨)",1
273,이두,"바이셉 컬 (케이블)",1
274,이두,"친 업",0
275,이두,"프리쳐 컬 (덤벨)",0
276,이두,"바이셉 컬 (덤벨)",0
277,이두,"바이셉 컬 (이지바)",1
278,이두,"해머 컬 (덤벨)",0
279,이두,"컨센트레이션 컬",0
280,이두,"프리쳐 컬 (머신)",1
281,이두,"해머 컬 (케이블)",1
282,이두,"해머 컬 (밴드)",0
283,이두,"프리쳐 컬 (바벨)",1
284,이두,"리버스 컬 (덤벨)",0
285,이두,"리버스 컬 (바벨)",1
286,이두,"오버헤드 케이블 컬",1
287,이두,"프리쳐 컬 (이지바)",1
288,이두,"인클라인 덤벨 컬",0
289,이두,"인클라인 해머 컬 (덤벨)",0
290,이두,"인클라인 리버스 컬 (덤벨)",0
291,이두,"리버스 컬 (케이블)",1
292,이두,"리버스 컬 (이지바)",1
293,이두,"프리쳐 컬 (케이블)",1
294,이두,"인클라인 리버스 컬 (바벨)",0
295,전완근,"리스트 컬 (덤벨)",0
296,전완근,"리스트 컬 (바벨)",1
297,전완근,"리스트 롤러",1
298,전완근,"리버스 리스트 컬 (바벨)",1
299,전완근,"리버스 리스트 컬 (덤벨)",0
